State,Country,Time,Imports
Georgia,New Caledonia,2016,"452,352"
Georgia,French Polynesia,2016,"260,517"
Georgia,Marshall Islands,2016,"189,586"
Georgia,Micronesia,2016,"2,979"
Georgia,Palau,2016,"97,897"
Georgia,Nauru,2016,"19,332"
Georgia,Fiji,2016,"8,539,921"
Georgia,Tonga,2016,"12,311"
Georgia,Morocco,2016,"41,528,244"
Georgia,Algeria,2016,"28,620,572"
Georgia,Tunisia,2016,"9,683,802"
Georgia,Libya,2016,"3,000"
Georgia,Egypt,2016,"172,860,186"
Georgia,Cameroon,2016,"119,633"
Georgia,Senegal,2016,"2,169,496"
Georgia,Mali,2016,"10,192"
Georgia,Guinea,2016,"13,129"
Georgia,Sierra Leone,2016,"634,014"
Georgia,Cote D'ivoire,2016,"1,698,671"
Georgia,Ghana,2016,"3,978,606"
Georgia,Gambia,2016,"54,373"
Georgia,Niger,2016,"68,562"
Georgia,Gabon,2016,"538,470"
Georgia,Togo,2016,"496,735"
Georgia,Nigeria,2016,"4,370,756"
Georgia,Central African Republic,2016,"82,726"
Georgia,Chad,2016,"3,895"
Georgia,St Helena,2016,"7,478"
Georgia,Congo,2016,"163,349"
Georgia,Sao Tome And Principe,2016,"12,508"
Georgia,Liberia,2016,"14,386"
Georgia,Democratic Republic Of The Congo,2016,"63,723"
Georgia,Rwanda,2016,"863,397"
Georgia,Eritrea,2016,"246,636"
Georgia,Ethiopia,2016,"4,493,980"
Georgia,Djibouti,2016,"10,000"
Georgia,Uganda,2016,"262,054"
Georgia,Kenya,2016,"30,477,016"
Georgia,Seychelles,2016,"32,990"
Georgia,Tanzania,2016,"5,133,447"
Georgia,Mauritius,2016,"40,189,592"
Georgia,Mozambique,2016,"460,280"
Georgia,Madagascar,2016,"6,375,473"
Georgia,Comoros,2016,"2,800"
Georgia,Reunion,2016,"5,957"
Georgia,South Africa,2016,"408,870,685"
Georgia,Namibia,2016,"397,476"
Georgia,Botswana,2016,"6,146"
Georgia,Zambia,2016,"19,471"
Georgia,Eswatini,2016,"1,067,075"
Georgia,Zimbabwe,2016,"2,484,720"
Georgia,Malawi,2016,"2,556,389"
Georgia,Lesotho,2016,"46,727,917"
Hawaii,Canada,2016,"229,243,523"
Hawaii,Mexico,2016,"11,698,325"
Hawaii,Guatemala,2016,"4,845,834"
Hawaii,Belize,2016,"2,038"
Hawaii,El Salvador,2016,"569"
Hawaii,Honduras,2016,"2,808"
Hawaii,Nicaragua,2016,"134,790"
Hawaii,Costa Rica,2016,"214,333"
Hawaii,Panama,2016,"88,843"
Hawaii,Haiti,2016,"1,137"
Hawaii,Dominican Republic,2016,"1,549,679"
Hawaii,St Kitts And Nevis,2016,"9,232"
Hawaii,Barbados,2016,"44,030"
Hawaii,Trinidad And Tobago,2016,"3,017,136"
Hawaii,Aruba,2016,"9,985"
Hawaii,Colombia,2016,"4,068,321"
Hawaii,Ecuador,2016,"2,312,650"
Hawaii,Peru,2016,"4,907,682"
Hawaii,Chile,2016,"3,410,940"
Hawaii,Brazil,2016,"2,822,744"
Hawaii,Uruguay,2016,"600"
Hawaii,Sweden,2016,"2,929,410"
Hawaii,Argentina,2016,"44,182,623"
Hawaii,Iceland,2016,"3,379"
Hawaii,Norway,2016,"1,191,639"
Hawaii,Finland,2016,"657,716"
Hawaii,Faroe Islands,2016,"62,397"
Hawaii,Denmark,2016,"3,918,743"
Hawaii,United Kingdom,2016,"15,033,574"
Hawaii,Ireland,2016,"1,064,253"
Hawaii,Netherlands,2016,"24,623,006"
Hawaii,Belgium,2016,"7,548,718"
Hawaii,Luxembourg,2016,"24,702"
Hawaii,Monaco,2016,"165,575"
Hawaii,France,2016,"21,710,633"
Hawaii,Germany,2016,"25,131,219"
Hawaii,Austria,2016,"600,830"
Hawaii,Czech Republic,2016,"2,078,942"
Hawaii,Slovakia,2016,"19,944"
Hawaii,Hungary,2016,"657,857"
Hawaii,Switzerland,2016,"18,074,553"
Hawaii,Estonia,2016,"13,947"
Hawaii,Latvia,2016,"618,806"
Hawaii,Lithuania,2016,"98,652"
Hawaii,Poland,2016,"241,954"
Hawaii,Russia,2016,"282,390,429"
Hawaii,Ukraine,2016,"17,548"
Hawaii,Armenia,2016,"34,116"
Hawaii,Georgia,2016,"27,629"
Hawaii,Moldova,2016,"9,214"
Hawaii,Spain,2016,"13,010,318"
Hawaii,Portugal,2016,"1,812,948"
