state,id,time,imports,exports,total_trade_activity,trade_balance
Missouri,MO,2025,21.9,18.7,40.6,-3.2
Montana,MT,2025,6.3,2.1,8.4,-4.2
Nebraska,NE,2025,8,7.8,15.8,-0.2
Nevada,NV,2025,36.2,12.7,48.9,-23.5
New Hampshire,NH,2025,10.1,7.2,17.3,-2.9
New Jersey,NJ,2025,147.7,44.2,191.9,-103.5
New Mexico,NM,2025,12.2,15.3,27.5,3.1
New York,NY,2025,213.8,153.1,366.9,-60.7
North Carolina,NC,2025,102,43.8,145.8,-58.2
North Dakota,ND,2025,3.9,8.6,12.5,4.7
Ohio,OH,2025,87.1,55.9,143,-31.2
Oklahoma,OK,2025,17.1,7.5,24.6,-9.6
Oregon,OR,2025,30.7,28,58.7,-2.7
Pennsylvania,PA,2025,136,52.2,188.2,-83.8
Puerto Rico,PR,2025,20.4,21.7,42.1,1.3
Rhode Island,RI,2025,11.3,4.2,15.5,-7.1
South Carolina,SC,2025,56.2,38.5,94.7,-17.7
South Dakota,SD,2025,1.5,1.9,3.4,0.4
Tennessee,TN,2025,119.6,37.7,157.3,-81.9
Texas,TX,2025,411.6,450.3,861.9,38.7
Utah,UT,2025,28.6,22.4,51,-6.2
Vermont,VT,2025,4,2.1,6.1,-1.9
Virginia,VA,2025,43.6,19,62.6,-24.6
US Virgin Islands,VI,2025,0.5,2.2,2.7,1.7
Washington,WA,2025,55.8,65.2,121,9.4
West Virginia,WV,2025,4.9,4.6,9.5,-0.3
Wisconsin,WI,2025,36.4,27.1,63.5,-9.3
Wyoming,WY,2025,1,2,3,1
