state,id,time,imports,exports,total_trade_activity,trade_balance
Virginia,VA,2017,29.1,16.5,45.6,-12.6
US Virgin Islands,VI,2017,1.2,1,2.2,-0.2
Washington,WA,2017,49.8,76.4,126.2,26.6
West Virginia,WV,2017,3.4,7.1,10.5,3.7
Wisconsin,WI,2017,27.7,22.3,50,-5.4
Wyoming,WY,2017,0.9,1.2,2.1,0.3
Alabama,AL,2018,26.2,21.4,47.6,-4.8
Alaska,AK,2018,1.9,4.8,6.7,2.9
Arizona,AZ,2018,22.4,22.5,44.9,0.1
Arkansas,AR,2018,11.5,6.4,17.9,-5.1
California,CA,2018,440.2,178.2,618.4,-262
Colorado,CO,2018,13.5,8.3,21.8,-5.2
Connecticut,CT,2018,19.8,17.4,37.2,-2.4
Delaware,DE,2018,8.9,4.7,13.6,-4.2
Dist of Columbia,DC,2018,0.8,2.7,3.5,1.9
Florida,FL,2018,80.6,57.3,137.9,-23.3
Georgia,GA,2018,98.6,40.6,139.2,-58
Hawaii,HI,2018,4.5,0.7,5.2,-3.8
Idaho,ID,2018,6.9,4,10.9,-2.9
Illinois,IL,2018,156.7,65.5,222.2,-91.2
Indiana,IN,2018,61.6,39.3,100.9,-22.3
Iowa,IA,2018,10.7,14.4,25.1,3.7
Kansas,KS,2018,12.3,11.6,23.9,-0.7
Kentucky,KY,2018,54.4,31.8,86.2,-22.6
Louisiana,LA,2018,40,67.2,107.2,27.2
Maine,ME,2018,3.8,2.8,6.6,-1
Maryland,MD,2018,35.1,12.1,47.2,-23
Massachusetts,MA,2018,35.5,27.2,62.7,-8.3
Michigan,MI,2018,146.2,58,204.2,-88.2
Minnesota,MN,2018,32.9,22.7,55.6,-10.2
Mississippi,MS,2018,16.5,11.6,28.1,-4.9
Missouri,MO,2018,20.5,14.5,35,-6
Montana,MT,2018,4.7,1.7,6.4,-3
Nebraska,NE,2018,4.4,7.9,12.3,3.5
Nevada,NV,2018,11.8,11.1,22.9,-0.7
New Hampshire,NH,2018,12.5,5.3,17.8,-7.2
New Jersey,NJ,2018,127.8,35.3,163.1,-92.5
New Mexico,NM,2018,2.6,3.9,6.5,1.3
New York,NY,2018,137,84.7,221.7,-52.3
North Carolina,NC,2018,53.2,32.8,86,-20.4
North Dakota,ND,2018,3.4,7.8,11.2,4.4
Ohio,OH,2018,70,54.4,124.4,-15.6
Oklahoma,OK,2018,11.2,6.1,17.3,-5.1
Oregon,OR,2018,20,22.3,42.3,2.3
Pennsylvania,PA,2018,88.4,41.2,129.6,-47.2
Puerto Rico,PR,2018,27,18.1,45.1,-8.9
Rhode Island,RI,2018,10.5,2.4,12.9,-8.1
South Carolina,SC,2018,40.1,34.6,74.7,-5.5
South Dakota,SD,2018,1.1,1.4,2.5,0.3
Tennessee,TN,2018,85.9,32.7,118.6,-53.2
Texas,TX,2018,303.7,315.8,619.5,12.1
Utah,UT,2018,15.1,14.4,29.5,-0.7
Vermont,VT,2018,3.4,2.9,6.3,-0.5
Virginia,VA,2018,29.3,18.3,47.6,-11
US Virgin Islands,VI,2018,1.5,0.6,2.1,-0.9
Washington,WA,2018,54.6,77.9,132.5,23.3
West Virginia,WV,2018,3.4,8.2,11.6,4.8
Wisconsin,WI,2018,30.8,22.7,53.5,-8.1
Wyoming,WY,2018,1.1,1.4,2.5,0.3
Alabama,AL,2019,28.3,20.8,49.1,-7.5
Alaska,AK,2019,2.3,5,7.3,2.7
Arizona,AZ,2019,26.5,25,51.5,-1.5
Arkansas,AR,2019,9.6,6.2,15.8,-3.4
California,CA,2019,407.5,173.8,581.3,-233.7
Colorado,CO,2019,13.1,8.1,21.2,-5
Connecticut,CT,2019,20.1,16.2,36.3,-3.9
Delaware,DE,2019,9.5,4.4,13.9,-5.1
Dist of Columbia,DC,2019,0.7,3.7,4.4,3
Florida,FL,2019,81.7,56,137.7,-25.7
Georgia,GA,2019,101.9,41.3,143.2,-60.6
Hawaii,HI,2019,3.8,0.5,4.3,-3.3
Idaho,ID,2019,5.1,3.4,8.5,-1.7
Illinois,IL,2019,163.4,59.8,223.2,-103.6
Indiana,IN,2019,64.5,39.4,103.9,-25.1
Iowa,IA,2019,10,13.2,23.2,3.2
Kansas,KS,2019,12.1,11.7,23.8,-0.4
Kentucky,KY,2019,56.8,33,89.8,-23.8
Louisiana,LA,2019,29.4,63.9,93.3,34.5
Maine,ME,2019,4.6,2.7,7.3,-1.9
Maryland,MD,2019,35.5,13.1,48.6,-22.4
Massachusetts,MA,2019,36.5,26.1,62.6,-10.4
Michigan,MI,2019,141.6,56,197.6,-85.6
Minnesota,MN,2019,29.8,22.2,52,-7.6
Mississippi,MS,2019,16.9,11.8,28.7,-5.1
Missouri,MO,2019,20.5,13.5,34,-7
Montana,MT,2019,4.6,1.7,6.3,-2.9
Nebraska,NE,2019,4.3,7.5,11.8,3.2
Nevada,NV,2019,10.9,9.1,20,-1.8
New Hampshire,NH,2019,10.5,5.8,16.3,-4.7
New Jersey,NJ,2019,126.1,35.7,161.8,-90.4
New Mexico,NM,2019,4.4,4.7,9.1,0.3
New York,NY,2019,132.7,75.6,208.3,-57.1
North Carolina,NC,2019,59.2,34.3,93.5,-24.9
North Dakota,ND,2019,3.4,7,10.4,3.6
Ohio,OH,2019,68.8,53.2,122,-15.6
Oklahoma,OK,2019,11.8,6.2,18,-5.6
Oregon,OR,2019,18.6,25.9,44.5,7.3
Pennsylvania,PA,2019,89.7,42.7,132.4,-47
