State,Country,Time,Exports
Alabama,Suriname,2016,"1,293,663"
Alabama,French Guiana,2016,"3,456"
Alabama,Ecuador,2016,"9,721,870"
Alabama,Peru,2016,"33,381,921"
Alabama,Bolivia,2016,"1,951,986"
Alabama,Chile,2016,"89,846,851"
Alabama,Brazil,2016,"242,635,789"
Alabama,Paraguay,2016,"8,777,991"
Alabama,Uruguay,2016,"2,627,446"
Alabama,Argentina,2016,"53,661,583"
Alabama,Iceland,2016,"216,252"
Alabama,Sweden,2016,"47,916,889"
Alabama,Norway,2016,"16,751,750"
Alabama,Finland,2016,"41,414,578"
Alabama,Denmark,2016,"43,846,731"
Alabama,United Kingdom,2016,"561,821,338"
Alabama,Ireland,2016,"24,482,664"
Alabama,Netherlands,2016,"173,903,155"
Alabama,Belgium,2016,"261,191,770"
Alabama,Luxembourg,2016,"5,398,574"
Alabama,Andorra,2016,"18,000"
Alabama,Monaco,2016,"47,515"
Alabama,France,2016,"421,926,504"
Alabama,Germany,2016,"3,204,625,082"
Alabama,Austria,2016,"57,354,649"
Alabama,Czech Republic,2016,"26,980,237"
Alabama,Slovakia,2016,"1,347,645"
Alabama,Hungary,2016,"9,767,311"
Alabama,Liechtenstein,2016,"116,764"
Alabama,Switzerland,2016,"27,663,761"
Alabama,Estonia,2016,"790,331"
Alabama,Latvia,2016,"1,508,965"
Alabama,Lithuania,2016,"924,536"
Alabama,Poland,2016,"19,527,867"
Alabama,Russia,2016,"101,376,763"
Alabama,Belarus,2016,"355,030"
Alabama,Ukraine,2016,"15,427,212"
Alabama,Armenia,2016,"213,324"
Alabama,Azerbaijan,2016,"708,851"
Alabama,Georgia,2016,"406,428"
Alabama,Kazakhstan,2016,"8,862,612"
Alabama,Kyrgyzstan,2016,"26,925"
Alabama,Moldova,2016,"59,731"
Alabama,Tajikistan,2016,"18,810"
Alabama,Turkmenistan,2016,"1,518,747"
Alabama,Uzbekistan,2016,"41,196"
Alabama,Spain,2016,"85,090,937"
Alabama,Portugal,2016,"9,533,244"
Alabama,Malta,2016,"293,908"
Alabama,Italy,2016,"116,937,382"
Alabama,Croatia,2016,"16,459,676"
Alabama,Slovenia,2016,"794,606"
Alabama,Bosnia And Herzegovina,2016,"6,017,701"
Alabama,Macedonia,2016,"137,512"
Alabama,Serbia,2016,"653,004"
Alabama,Kosovo,2016,"388,299"
Alabama,Albania,2016,"456,070"
Alabama,Greece,2016,"2,058,606"
Alabama,Romania,2016,"1,180,348"
Alabama,Bulgaria,2016,"423,360"
Alabama,Turkey,2016,"63,723,320"
Alabama,Cyprus,2016,"1,960,293"
Alabama,Syria,2016,"29,055"
Alabama,Lebanon,2016,"31,384,345"
Alabama,Iraq,2016,"7,552,257"
Alabama,Iran,2016,"4,876,035"
Alabama,Israel,2016,"59,675,902"
Alabama,West Bank Administered By Israel,2016,"379,403"
Alabama,Jordan,2016,"9,836,698"
Alabama,Kuwait,2016,"104,590,879"
Alabama,Saudi Arabia,2016,"174,840,725"
Alabama,Qatar,2016,"27,166,469"
Alabama,United Arab Emirates,2016,"467,914,281"
Alabama,Oman,2016,"52,108,608"
Alabama,Bahrain,2016,"10,696,997"
Alabama,Afghanistan,2016,"9,668,883"
Alabama,India,2016,"276,361,777"
Alabama,Pakistan,2016,"9,269,479"
Alabama,Nepal,2016,"984,730"
Alabama,Bangladesh,2016,"7,078,515"
Alabama,Sri Lanka,2016,"2,680,884"
Alabama,Thailand,2016,"113,128,451"
